farm_id,region,crop,soil_moisture_percent,soil_ph,temperature_c,rainfall_mm,humidity_percent,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,latitude,longitude,crop_disease_status
FARM0001,North India,Wheat,35.95,5.99,17.79,75.62,77.03,7.27,,Organic,6.34,08-01-2024,09-05-2024,122,4408.07,14.970941,82.997689,Mild
FARM0002,South USA,Soybean,19.74,7.24,30.18,89.91,61.13,5.67,Sprinkler,Inorganic,9.6,04-02-2024,26-05-2024,112,5389.98,16.613022,70.869009,
FARM0003,South USA,Wheat,29.32,7.16,27.37,265.43,68.87,8.23,Drip,Mixed,15.26,03-02-2024,26-06-2024,144,2931.16,19.503156,79.068206,Mild
FARM0004,Central USA,Maize,17.33,6.03,33.73,212.01,70.46,5.03,Sprinkler,Organic,25.8,21-02-2024,04-07-2024,134,4227.8,31.071298,85.519998,
FARM0005,Central USA,Cotton,19.37,5.92,33.86,269.09,55.73,7.93,,Mixed,25.65,05-02-2024,20-05-2024,105,4979.96,16.56854,81.69172,Severe
FARM0006,Central USA,Rice,44.91,5.78,24.87,238.95,83.06,4.92,Sprinkler,Mixed,24,13-01-2024,06-05-2024,114,4383.55,23.227859,89.421568,
FARM0007,North India,Soybean,36.28,7.04,21.8,123.38,47.91,4.02,Manual,Mixed,39.29,04-03-2024,27-07-2024,145,4501.2,25.224255,73.056785,
FARM0008,East Africa,Maize,27.1,5.72,22.26,296.33,80.34,5.44,Sprinkler,Mixed,47.61,24-01-2024,24-05-2024,121,5264.09,23.317654,72.51521,Mild
FARM0009,Central USA,Soybean,40.54,6.35,19.24,184.82,76.5,5.21,Manual,Inorganic,49.78,12-03-2024,08-07-2024,118,5598.46,13.025105,74.493947,Mild
FARM0010,East Africa,Rice,10.25,6.92,16.18,66.85,41.57,5.98,Sprinkler,Inorganic,35.1,18-01-2024,25-04-2024,98,4893.41,24.405291,74.859945,Severe
FARM0011,South India,Wheat,13.39,6.36,23.47,166.76,76.45,8.04,Drip,Organic,23.12,26-02-2024,20-07-2024,145,2437.08,14.755223,78.972271,Moderate
FARM0012,South USA,Rice,40.61,5.65,31.16,263.99,44.9,7.91,Drip,Organic,46.69,06-01-2024,01-05-2024,116,3942.56,31.61626,88.048857,
FARM0013,South USA,Maize,42.43,7.07,20.7,224.15,76.53,8.7,,Organic,13.55,02-01-2024,08-05-2024,127,4942.95,28.699389,71.143305,Mild
FARM0014,North India,Soybean,12.8,5.87,26.9,218.8,51.76,4.72,Sprinkler,Mixed,31.75,03-03-2024,27-06-2024,116,4629.49,23.069568,88.694125,Moderate
FARM0015,South India,Maize,23.85,6.84,21,129.04,77.59,4.44,,Mixed,49.93,03-01-2024,06-05-2024,124,2852.62,13.311414,76.980177,Mild
FARM0016,Central USA,Maize,15.52,7.17,29.07,202.92,89.36,7.92,Drip,Mixed,41.77,22-02-2024,28-05-2024,96,5755.72,16.611648,87.794254,Mild
FARM0017,Central USA,Maize,31.17,6.94,19.07,208.56,53.2,6.93,Drip,Organic,33.54,02-02-2024,02-05-2024,90,3334.23,25.927834,75.239105,Severe
FARM0018,East Africa,Wheat,13.92,7.39,28.82,87.26,41.8,6.22,Sprinkler,Inorganic,10.74,12-02-2024,08-07-2024,147,5732.35,32.473116,74.201531,
FARM0019,Central USA,Soybean,40.94,6.31,27.41,88.64,86.49,9.19,Sprinkler,Inorganic,6.12,11-03-2024,29-07-2024,140,5723.26,16.670143,85.74749,
FARM0020,South USA,Rice,16.99,7.34,21.99,255.13,83.57,5.34,Sprinkler,Inorganic,19.77,25-01-2024,11-05-2024,107,3404.58,19.99196,89.622994,
FARM0021,North India,Maize,16.25,7.43,20.31,77.1,61.73,8.37,Manual,Inorganic,32.28,04-03-2024,26-06-2024,114,5598.02,16.368063,84.175706,Mild
FARM0022,Central USA,Cotton,12.45,6.83,21.6,128.48,82.4,8.32,Manual,Mixed,18.92,11-02-2024,05-06-2024,115,4788.83,13.182195,78.408927,Mild
FARM0023,East Africa,Soybean,20.53,6.6,15.01,121.73,61.49,7.48,Manual,Inorganic,24.88,07-03-2024,07-07-2024,122,3892.74,33.9958,84.719229,Moderate
FARM0024,East Africa,Soybean,21.73,7.14,30.02,218.2,51.23,5.19,Drip,Organic,16.02,20-02-2024,13-07-2024,144,5073.96,20.361025,82.595308,Severe
FARM0025,South USA,Cotton,18.54,6.81,15.11,237.74,78.5,4.64,,Organic,12.91,17-03-2024,14-07-2024,119,2200.87,32.93675,72.427172,Severe
FARM0026,East Africa,Soybean,30.84,7.4,32.83,203.16,75.96,7.03,,Organic,38.46,15-02-2024,31-05-2024,106,5007.11,16.932784,85.553497,Mild
FARM0027,Central USA,Cotton,12.71,6.07,20.43,129.93,67.01,4.83,Sprinkler,Inorganic,36.23,07-03-2024,09-06-2024,94,3659.47,23.565279,78.315485,Severe
FARM0028,South USA,Soybean,43.11,5.54,32.61,193.92,63.85,9.66,Manual,Inorganic,43.41,18-02-2024,04-07-2024,137,4938.54,22.205737,75.458706,Severe
FARM0029,Central USA,Cotton,35.35,7.18,33.39,295.18,66.71,9.44,Drip,Organic,33.92,28-01-2024,26-05-2024,119,2726.92,19.477597,74.233206,Severe
FARM0030,Central USA,Cotton,18.83,5.66,15.39,184.85,90,6.1,Drip,Mixed,6.81,08-01-2024,19-04-2024,102,5356.92,13.809559,72.524419,Mild
FARM0031,South USA,Maize,36.84,5.84,27.14,236.98,45.73,8.92,Manual,Organic,31.04,19-02-2024,01-07-2024,133,5632.1,19.916361,84.300294,Mild
